name,description,subscribers,url,username,tme_link,last_post
Москвач • Новости Москвы,Лучший канал о Москве,4527402,https://tgstat.ru/en/channel/@moscowach,moscowach,https://t.me/moscowach,71 min
Прямой Эфир • Новости,Все самое важное в одном канале.,4446913,https://tgstat.ru/en/channel/@novosti_efir,novosti_efir,https://t.me/novosti_efir,44 min
РИА Новости,Главные Новости РИА,3344508,https://tgstat.ru/en/channel/@rian_ru,rian_ru,https://t.me/rian_ru,27 min
СМИ Россия не Москва,Эруктации информпространства России и ее Окраин.,3211245,https://tgstat.ru/en/channel/@smi_rf_moskva,smi_rf_moskva,https://t.me/smi_rf_moskva,38 min
Mash,"Прислать новость, фото, видео, аудио, бересту: @in_mash_bot",3197880,https://tgstat.ru/en/channel/@mash,mash,https://t.me/mash,100 min
Readovka,рИдовка - реальные новости,2713566,https://tgstat.ru/en/channel/@readovkanews,readovkanews,https://t.me/readovkanews,2 hours
Новости Москвы,‍️ Самый читаемый канал о Москве,2164573,https://tgstat.ru/en/channel/@moscowmap,moscowmap,https://t.me/moscowmap,85 min
Раньше всех. Ну почти.,Для предложений: rvnp@protonmail.ch,1915341,https://tgstat.ru/en/channel/@bbbreaking,bbbreaking,https://t.me/bbbreaking,33 min
Первый Московский,Первый канал о Москве.,1856863,https://tgstat.ru/en/channel/@mosguru,mosguru,https://t.me/mosguru,80 min
Москвач+,Второй лучший канал о Москве,1810789,https://tgstat.ru/en/channel/@moscowachplus,moscowachplus,https://t.me/moscowachplus,40 min
Baza,Правда и эмоции,1614338,https://tgstat.ru/en/channel/@bazabazon,bazabazon,https://t.me/bazabazon,27 min
"Осторожно, новости","предложить новость, написать нам:",1600574,https://tgstat.ru/en/channel/@ostorozhno_novosti,ostorozhno_novosti,https://t.me/ostorozhno_novosti,27 min
Москва - это интересно,Реклама: @evoanna @evo_milena,1553050,https://tgstat.ru/en/channel/@mskint,mskint,https://t.me/mskint,65 min
VOBLYA • новости,"Публикуем самые первые, ну почти!",1529963,https://tgstat.ru/en/channel/@kursk_voina_belgorod,kursk_voina_belgorod,https://t.me/kursk_voina_belgorod,46 min
Московская Хроника,"Мы пишем о том, что волнует всю Москву.",1471766,https://tgstat.ru/en/channel/@mosnews,mosnews,https://t.me/mosnews,90 min
ВПШ,Над схваткой.,1466227,https://tgstat.ru/en/channel/@pravdadirty,pravdadirty,https://t.me/pravdadirty,61 min
Злые Новости,"Говорим, пока другие молчат!",1355287,https://tgstat.ru/en/channel/@nyinovost,nyinovost,https://t.me/nyinovost,85 min
SHOT,Самый цитируемый телеграм-канал России,1266009,https://tgstat.ru/en/channel/@shot_shot,shot_shot,https://t.me/shot_shot,27 min
Медуза — LIVE,Главный телеграм-канал «Медузы». Для связи: @m_needs_you,1237915,https://tgstat.ru/en/channel/@meduzalive,meduzalive,https://t.me/meduzalive,31 min
Два майора,@major_adv - Реклама,1230204,https://tgstat.ru/en/channel/@dva_majors,dva_majors,https://t.me/dva_majors,41 min
Рифмы и Панчи 🤯,"Крупнейший новостной ресурс обо всём, что сейчас обсуждает молодежь: от блогеров и политики до футбола и UFC",1188810,https://tgstat.ru/en/channel/@rhymestg,rhymestg,https://t.me/rhymestg,57 min
Москва 24/7,"Лучший источник последних новостей и событий, происходящих в Москве!",1154994,https://tgstat.ru/en/channel/@msk7days,msk7days,https://t.me/msk7days,62 min
Varlamov News,новостной канал от @varlamov,1146552,https://tgstat.ru/en/channel/@varlamov_news,varlamov_news,https://t.me/varlamov_news,2 hours
Госуслуги,Официальный канал портала государственных услуг Российской Федерации.,1096851,https://tgstat.ru/en/channel/@gosuslugi,gosuslugi,https://t.me/gosuslugi,3 hours
RT на русском,Эксклюзивные репортажи. Кадры с передовой. Самые обсуждаемые и важные события в России и мире,1033108,https://tgstat.ru/en/channel/@rt_russian,rt_russian,https://t.me/rt_russian,29 min
Москва сегодня,Полезный канал для москвичей. Коротко и интересно про столицу.,1010216,https://tgstat.ru/en/channel/@moscow,moscow,https://t.me/moscow,48 min
WarGonzo,Заявление для регистрации в Роскомнадзор N 4808654394 от 11.11.2024,931785,https://tgstat.ru/en/channel/@wargonzo,wargonzo,https://t.me/wargonzo,26 min
Медийка,"Главное про шоу-бизнес, блогеров и интернет-тренды",909941,https://tgstat.ru/en/channel/@mediyca,mediyca,https://t.me/mediyca,69 min
КОНТЕКСТ,"18+. Подписываясь на настоящий канал, вы подтверждаете, что вам есть 18 лет.",898225,https://tgstat.ru/en/channel/@kontext_channel,kontext_channel,https://t.me/kontext_channel,25 min
moskovsky!,развлекательные новости без занудства и грусти,893252,https://tgstat.ru/en/channel/@msky_media,msky_media,https://t.me/msky_media,53 min
