name,description,subscribers,url,username,tme_link,last_post
Москвичи / «Новости Москвы»,▪️Анонимно прислать новость - https://t.me/mosmapbot,117178,https://tgstat.ru/en/chat/id1423788859,1423788859,https://t.me/1423788859,51 min
Чат Москва,Чат для поиска и публикации информации на территории Москвы,66976,https://tgstat.ru/en/chat/@stolitsa_msk_obyavlenia,stolitsa_msk_obyavlenia,https://t.me/stolitsa_msk_obyavlenia,76 min
чат Екатеринбург,Чат для поиска и публикации информации на территории Екатеринбурга,63387,https://tgstat.ru/en/chat/@gruppa_ekb_eburg,gruppa_ekb_eburg,https://t.me/gruppa_ekb_eburg,58 min
Москва сегодня чат,"️Разблокировка в чате, обращайтесь сюда —  @mostodaysupportbot",43910,https://tgstat.ru/en/chat/@mostodaychat,mostodaychat,https://t.me/mostodaychat,48 min
Ситуация на Крымском мосту,Реклама @owl_bubo,39714,https://tgstat.ru/en/chat/@krym_most_seychas,krym_most_seychas,https://t.me/krym_most_seychas,2 hours
чат Санкт-Петербург,Чат для поиска и публикации информации на территории Санкт-Петербурга,29759,https://tgstat.ru/en/chat/@leningrad_piter,leningrad_piter,https://t.me/leningrad_piter,4 hours
ЧП Сочи / Прямой эфир,Официальный открытый ЧАТ проекта «ЧП Сочи».,27830,https://tgstat.ru/en/chat/@chpsochi_chat,chpsochi_chat,https://t.me/chpsochi_chat,47 min
ЧАТ - Воробьёв LIVE,,26297,https://tgstat.ru/en/chat/@vorobiev_live_chat,vorobiev_live_chat,https://t.me/vorobiev_live_chat,46 min
Чат Саратов,Чат для поиска и публикации информации на территории Саратова,26170,https://tgstat.ru/en/chat/@saratov_obyavlenia_gorod,saratov_obyavlenia_gorod,https://t.me/saratov_obyavlenia_gorod,70 min
Чат Краснодар,Чат для поиска и публикации информации на территории Краснодара,25732,https://tgstat.ru/en/chat/@krasnodar_novosti_gruppa,krasnodar_novosti_gruppa,https://t.me/krasnodar_novosti_gruppa,15 hours
Подслушано чат #1,Разрешено:,24000,https://tgstat.ru/en/chat/@pb_chats,pb_chats,https://t.me/pb_chats,49 min
"Перекличка ДНР | Военный Ⓩ Донецк | Донецк, Макеевка, Ясиноватая, Горловка",Фото/видео материалы можете отправить нам в бот - @MilitaryDonetsk_feedback_bot,23992,https://tgstat.ru/en/chat/@militarydonetsk_pereklichka,militarydonetsk_pereklichka,https://t.me/militarydonetsk_pereklichka,47 min
Одинцово ЧАТ 🗣,Городской №1,23471,https://tgstat.ru/en/chat/@odintsovo_city,odintsovo_city,https://t.me/odintsovo_city,50 min
"Москва в сердце | новости, афиша",Лучший паблик о жизни в столице,23238,https://tgstat.ru/en/chat/@moscowhearts,moscowhearts,https://t.me/moscowhearts,64 min
Питер сегодня чат,"️Разблокировка в чате платная, обращайтесь сюда —  @mostodaysupportbot",21812,https://tgstat.ru/en/chat/@spbtodaychat,spbtodaychat,https://t.me/spbtodaychat,22 min
Новостной чат 18+,Наш канал: t.me/zhestnovosty,21757,https://tgstat.ru/en/chat/@chatzvz,chatzvz,https://t.me/chatzvz,49 min
Чат Мой и твой Воронеж,Уютный воронежский чатик. Добавляй друзей!,20328,https://tgstat.ru/en/chat/@vrn_chatt,vrn_chatt,https://t.me/vrn_chatt,51 min
Чат ЧП Краснодара 🔞,ЧП Краснодара и края,20080,https://tgstat.ru/en/chat/@chpkrasnodara_chat,chpkrasnodara_chat,https://t.me/chpkrasnodara_chat,51 min
МСК ньюс,Новости Москвы,20000,https://tgstat.ru/en/chat/@moskw_news,moskw_news,https://t.me/moskw_news,54 min
Сельское хозяйство,Сельское хозяйство России Агропром Пищевая промышленность России КФХ Крестьянское фермерское хозяйство агро зерно сельхоз агрономия,19777,https://tgstat.ru/en/chat/@selskoe_hozyajstvo,selskoe_hozyajstvo,https://t.me/selskoe_hozyajstvo,2 hours
Краснодар и край,Чат Краснодар и Край,19305,https://tgstat.ru/en/chat/@krasnodarkray_chat,krasnodarkray_chat,https://t.me/krasnodarkray_chat,50 min
Я ♥️ ЛАЗАРЕВСКОЕ,"Разместить рекламу или новость на любых наших каналах, пишите сюда",19000,https://tgstat.ru/en/chat/@love_laza,love_laza,https://t.me/love_laza,69 min
БашДТП Уфа,Реклама @smm702,18847,https://tgstat.ru/en/chat/@bashdp,bashdp,https://t.me/bashdp,2 hours
БЕСХОЗЯЙНОЕ ЖИЛЬЕ В МАРИУПОЛЕ,Информация по вопросам бесхозяйного жилья в Мариуполе,18066,https://tgstat.ru/en/chat/@mrpl_besxozxata,mrpl_besxozxata,https://t.me/mrpl_besxozxata,15 hours
ПОДСЛУШАНО Сочи 🌴,"ВСЕ ВОПРОСЫ ПО РАЗМЕЩЕНИЮ РЕКЛАМЫ на любых наших каналах, пишите",17766,https://tgstat.ru/en/chat/@podslushano_sochi1,podslushano_sochi1,https://t.me/podslushano_sochi1,20 hours
Перекличка по районам ДНР (От Сводка Донецка),Наш основной канал: t.me/donetsksv,17206,https://tgstat.ru/en/chat/@svodkadnrr,svodkadnrr,https://t.me/svodkadnrr,4 hours
Москвач • Premium-чат,Чат канала @moscowach. Вход только с подпиской Telegram Premium,16713,https://tgstat.ru/en/chat/@mskpremium,mskpremium,https://t.me/mskpremium,47 min
ЖК Ильинские Луга,Мат в любом виде - бан,16457,https://tgstat.ru/en/chat/@ilpik,ilpik,https://t.me/ilpik,54 min
Москва сейчас чат,"️Разблокировка в чате, обращайтесь сюда —  @mostodaysupportbot",16356,https://tgstat.ru/en/chat/@moscowowchat,moscowowchat,https://t.me/moscowowchat,49 min
Чат Пермь,Чат для поиска и публикации информации на территории Перми,16004,https://tgstat.ru/en/chat/@perm_chat_gruppa,perm_chat_gruppa,https://t.me/perm_chat_gruppa,4 hours
Сельхоз и агропром,Сельхоз и Агропром Сельское хозяйство России Пищевая промышленность России КФХ,15138,https://tgstat.ru/en/chat/@selhoz_agroprom,selhoz_agroprom,https://t.me/selhoz_agroprom,2 hours
Чат жителей Дербент,Дербентское сообщество.,15018,https://tgstat.ru/en/chat/@derbentchat,derbentchat,https://t.me/derbentchat,45 min
Чат Fontanka,Есть новость? Пиши сюда @fontanka_reporter_bot,14761,https://tgstat.ru/en/chat/@fontanka_chat,fontanka_chat,https://t.me/fontanka_chat,46 min
ЧП-СОЧИ,ПРЕДЛОЖИТЬ НОВОСТЬ или РЕКЛАМУ,14565,https://tgstat.ru/en/chat/@chp_sochi2,chp_sochi2,https://t.me/chp_sochi2,20 hours
За Победу,Помощь армии РФ @Olesia31z обратная связь,14324,https://tgstat.ru/en/chat/@zapobedybelgorod,zapobedybelgorod,https://t.me/zapobedybelgorod,2 hours
Казань,,14253,https://tgstat.ru/en/chat/@kzn_inf,kzn_inf,https://t.me/kzn_inf,3 hours
Казань News,Реклама в группе @Natashamx,14116,https://tgstat.ru/en/chat/@kzn_news_24,kzn_news_24,https://t.me/kzn_news_24,29 hours
Чат Инцидент Кузбасс,Ссылка на группу ИК https://t.me/+sbG3vCGOLngzMjhi,13957,https://tgstat.ru/en/chat/@incident_kuzbass_chat,incident_kuzbass_chat,https://t.me/incident_kuzbass_chat,52 min
Новости Казани,Реклама в группе @Natashamx1,13569,https://tgstat.ru/en/chat/@kzn_111,kzn_111,https://t.me/kzn_111,43 min
Воскресенск Онлайн,Чтобы вас приняли в эту группу надо сначала обязательно подписаться на канал @vskonline,13483,https://tgstat.ru/en/chat/@vosonline1,vosonline1,https://t.me/vosonline1,51 min
Казань новости дня,Реклама в группе @Natashamx1,13202,https://tgstat.ru/en/chat/@k_z_n116_z,k_z_n116_z,https://t.me/k_z_n116_z,3 hours
Трэш Chat Ульяновск и УО,Прислать новость боту - @trash73_bot,13054,https://tgstat.ru/en/chat/@treshchat_ulyanovsk,treshchat_ulyanovsk,https://t.me/treshchat_ulyanovsk,48 min
ReadovChat,Чат Ридовки @readovkanews,12891,https://tgstat.ru/en/chat/@readovchat,readovchat,https://t.me/readovchat,48 min
Луганск&События,"В нашей группе делимся новостями,  обстановкой в Луганске                                                       Связь с админом: ️  @luganskGroup_bot",12740,https://tgstat.ru/en/chat/@nash_lugansk,nash_lugansk,https://t.me/nash_lugansk,54 min
Вячеслав Квон Chat,"Друзья, приветствую всех в моем чате! Здесь у вас есть возможность оставить комментарий или задать волнующие вас вопросы о жизни в Артёме, планах или нашей работе. Надеюсь на конструктивный диалог и эффективную обратную связь",12513,https://tgstat.ru/en/chat/@vyacheslav_kwon_chat,vyacheslav_kwon_chat,https://t.me/vyacheslav_kwon_chat,47 min
Mylubertsy®️ Чат • Люберцы,Главный чат города Люберцы,12303,https://tgstat.ru/en/chat/@mylubertsychat,mylubertsychat,https://t.me/mylubertsychat,53 min
Люберцы 24,"Люберцы любимый город, тут Вы найдёте всегда свежие новости и немножко юмора!",12219,https://tgstat.ru/en/chat/@lyubertsy_1,lyubertsy_1,https://t.me/lyubertsy_1,4 hours
Сочи-Адлер канал - (it долина),"Канал творческий потенциал ! для высказывания мыслей, поиска единомышленников, волонтеров и просто хороших людей) светлые идеи приветствуются IT Долина России.",12149,https://tgstat.ru/en/chat/@sochiworld,sochiworld,https://t.me/sochiworld,3 hours
"ЗАПОЛЯРНАЯ - ЖК Славянка, ЖК на Красных Партизан, ЖК Студия 45, КРАСНОДАР",‍‍‍ Чат соседей на ул. ЗАПОЛЯРНАЯ,11880,https://tgstat.ru/en/chat/@zapolyarka,zapolyarka,https://t.me/zapolyarka,72 min
Gulag Chat,,11874,https://tgstat.ru/en/chat/@gulagchat,gulagchat,https://t.me/gulagchat,45 min
ЖК Императорские Мытищи,"Чат Форум дольщиков, соседей ЖК Императорские Мытищи. Отзывы о ЖК. Независимая группа.",11704,https://tgstat.ru/en/chat/@imperatorskie_mytishi_zhk,imperatorskie_mytishi_zhk,https://t.me/imperatorskie_mytishi_zhk,45 min
Чат Свет38,,11579,https://tgstat.ru/en/chat/@svet38chat,svet38chat,https://t.me/svet38chat,51 min
АГС_Русского_Донбасса Chat,Общаемся и сообщаем обстановку по ЛДНР,11467,https://tgstat.ru/en/chat/@ags_chat123,ags_chat123,https://t.me/ags_chat123,58 min
ПГТ Голубое,"Реклама, продажи -  (только в соответствующем разделе)",11285,https://tgstat.ru/en/chat/@goluboevillag,goluboevillag,https://t.me/goluboevillag,49 min
Город Стаханов. ЧАТ,Настоятельно рекомендуем ознакомиться с правилами группы по команде /rules,11257,https://tgstat.ru/en/chat/@stakhanovvv,stakhanovvv,https://t.me/stakhanovvv,51 min
Районы Луганска,,11241,https://tgstat.ru/en/chat/@rayonlnr,rayonlnr,https://t.me/rayonlnr,2 hours
ШТОРМ Z/ШТОРМ V/МОБИК ВАЖНОЕ,@vswarvs - Основная группа с инфой,10944,https://tgstat.ru/en/chat/@vswarvs,vswarvs,https://t.me/vswarvs,74 min
Москва || Афиша Духовных практик,По всем вопросам размещения писать админу @eliz_mngr,10936,https://tgstat.ru/en/chat/@moscowduhovnayafisha,moscowduhovnayafisha,https://t.me/moscowduhovnayafisha,2 days
Чат - Информационный центр СК России,,10921,https://tgstat.ru/en/chat/@infocentrskrfchat,infocentrskrfchat,https://t.me/infocentrskrfchat,49 min
ЛИНКО ФОРУМ Лаборатории Аккредитация,Платформа для лабораторий. Аккредитация лабораторий. Вопросы деятельности лабораторий. https://linqo.ru,10788,https://tgstat.ru/en/chat/@lincoforum,lincoforum,https://t.me/lincoforum,48 min
ЧАТ ЖК ВЕРЕСАЕВО,По ВСЕМ вопросам писать сюда ⤵️,10787,https://tgstat.ru/en/chat/@veresaevoo,veresaevoo,https://t.me/veresaevoo,76 min
КлинZдесь,"Чат создан по инициативе Администрации городского округа Клин Московской области для оперативной коммуникации жителей с представителями органов местного самоуправления и помощи в решении вопросов, находящихся в компетенции Администрации.",10675,https://tgstat.ru/en/chat/@klintut,klintut,https://t.me/klintut,46 min
ЮГ TRAVEL 🏖️ Chat,"Чат канала @Yug_Travel , реклама запрещена.",10558,https://tgstat.ru/en/chat/id1613329227,1613329227,https://t.me/1613329227,2 hours
