name,description,subscribers,url,username,tme_link,last_post
Труха⚡️Україна,️Актуальні події України.,2746350,https://uk.tgstat.com/en/channel/@truexanewsua,truexanewsua,https://t.me/truexanewsua,22 min
Николаевский Ванёк,Здесь пишу ИСКЛЮЧИТЕЛЬНО своё мнение.,2629489,https://uk.tgstat.com/en/channel/@vanek_nikolaev,vanek_nikolaev,https://t.me/vanek_nikolaev,3 hours
Реальний Київ | Украина,Найбільший канал новин Києва,1382892,https://uk.tgstat.com/en/channel/@kievreal1,kievreal1,https://t.me/kievreal1,55 min
Київ ІНФО | Новини Україна 🇺🇦,️Актуальні події Києва,1017642,https://uk.tgstat.com/en/channel/@kievinfo_kyiv,kievinfo_kyiv,https://t.me/kievinfo_kyiv,66 min
Карта повітряних тривог 🇺🇦,Моніторинг та оповіщення про військові загрози на території України.,954943,https://uk.tgstat.com/en/channel/@alarmukraine,alarmukraine,https://t.me/alarmukraine,56 min
Одесса INFO ⚓️ 🇺🇦 Новости | Одеса,Самые важные новости Одессы и области .Только Одесская аудитория️,872150,https://uk.tgstat.com/en/channel/@odessa_infonews,odessa_infonews,https://t.me/odessa_infonews,56 min
Хуевая Одесса,Новости Одессы и области,853223,https://uk.tgstat.com/en/channel/@xydessa,xydessa,https://t.me/xydessa,46 min
Повітряні Сили ЗС України / Air Force of the Armed Forces of Ukraine,"УСІ ПОСИЛАННЯ НА ОФІЦІЙНІ СОЦІАЛЬНІ МЕРЕЖІ ТА КАНАЛИ ПОВІТРЯНИХ СИЛ ЗБРОЙНИХ СИЛ УКРАЇНИ (Facebook, YouTube, Tiktok, WhatsApp, Telegram, Тwitter, Viber та Іnstagram):",828254,https://uk.tgstat.com/en/channel/@kpszsu,kpszsu,https://t.me/kpszsu,90 min
monitor,Моніторинг ворожої авіації.,714785,https://uk.tgstat.com/en/channel/@war_monitor,war_monitor,https://t.me/war_monitor,3 hours
Дніпро Alerts 🚀 🚨,️РЕКЛАМУ НЕ ПРОДАЄМ️,702753,https://uk.tgstat.com/en/channel/@dnipro_alerts,dnipro_alerts,https://t.me/dnipro_alerts,3 hours
Харьков life | Харків 🇺🇦,Самый крупный канал Харькова и востока Украины. Только актуальные новости,663258,https://uk.tgstat.com/en/channel/@kharkivlife,kharkivlife,https://t.me/kharkivlife,42 min
Труха⚡️Київ,По питанням реклами:,658007,https://uk.tgstat.com/en/channel/@truexakyiv,truexakyiv,https://t.me/truexakyiv,27 min
Україна⚡️Новини⚡️Війна,Важливі новини України та світу. Коротко та інформативно про головне. Про найголовніше — із поясненнями.,654244,https://uk.tgstat.com/en/channel/@uanova,uanova,https://t.me/uanova,22 min
Карта повітряних тривог ‼️ Вибухи ‼️ Ракети ‼️,OSINT моніторинг - інформація з відкритих джерел. Канал не є офіційним джерелом.,617748,https://uk.tgstat.com/en/channel/@povitryanatrivogaaa,povitryanatrivogaaa,https://t.me/povitryanatrivogaaa,22 min
Швидко та точно🇺🇦,Дізнавайся разом зі Швидко та точно!,593813,https://uk.tgstat.com/en/channel/@ukr_shvydko,ukr_shvydko,https://t.me/ukr_shvydko,25 min
Типичный Донецк,Типичный Донецк,572636,https://uk.tgstat.com/en/channel/@itsdonetsk,itsdonetsk,https://t.me/itsdonetsk,27 min
Реальна Україна | Радар Тривога 🇺🇦,"️ Актуальні новини, нам довіряють",519526,https://uk.tgstat.com/en/channel/@realnaya_ukraina1,realnaya_ukraina1,https://t.me/realnaya_ukraina1,3 min
ХДніпро 🇺🇦,Хуйовий Дніпро – твій гід у житті міста!,516872,https://uk.tgstat.com/en/channel/@hyevuy_dnepr,hyevuy_dnepr,https://t.me/hyevuy_dnepr,37 min
Хуйовий Харків 🇺🇦 Хуевый Харьков,НАДІСЛАТИ НОВИНУ: @huyovykharkivbot,515628,https://uk.tgstat.com/en/channel/@huyovy_kharkiv,huyovy_kharkiv,https://t.me/huyovy_kharkiv,57 min
Труха⚡️Харьков,️По вопросам рекламы:,507336,https://uk.tgstat.com/en/channel/@truexakharkiv,truexakharkiv,https://t.me/truexakharkiv,71 min
Украина.ру,Главный по Украине,486231,https://uk.tgstat.com/en/channel/@ukr_2025_ru,ukr_2025_ru,https://t.me/ukr_2025_ru,61 min
Аутсайдер UA,"Головні події України — новини, війна, аналітика.",469532,https://uk.tgstat.com/en/channel/@outsiderukraine,outsiderukraine,https://t.me/outsiderukraine,59 days
Куди летить? | Тривога,"Сповіщення про небезпеку, чітка та свіжа інформація.",462424,https://uk.tgstat.com/en/channel/@radar_raketaa,radar_raketaa,https://t.me/radar_raketaa,3 hours
Киевский Движ,Все новости Киева в одном канале.,451507,https://uk.tgstat.com/en/channel/@k_dvizh,k_dvizh,https://t.me/k_dvizh,49 min
Новости Одесса | Одеса,ссылка для друзей t.me/our_odessa,441808,https://uk.tgstat.com/en/channel/@our_odessa,our_odessa,https://t.me/our_odessa,62 min
Чому тривога | Радар,"Цілодобово повідомляю про причину тривоги в Україні, разом до перемоги",421448,https://uk.tgstat.com/en/channel/@raketa_trevoga,raketa_trevoga,https://t.me/raketa_trevoga,71 min
Тривога України | Радар,"️Канал, який інформує про тривоги, пуски і напрямок ворожих Ракет/Шахедів.",391026,https://uk.tgstat.com/en/channel/@raketa_svitlo,raketa_svitlo,https://t.me/raketa_svitlo,3 hours
Бавовна △,Запропонувати контент або зв’язатися з каналом - @SuggestBavovna_Bot,380166,https://uk.tgstat.com/en/channel/@ukrbavovna,ukrbavovna,https://t.me/ukrbavovna,94 min
∆✙🍒Гнила черешня🇺🇦✙∆,Канал мелітопольського партизанського загону генерала Черешні,378601,https://uk.tgstat.com/en/channel/@gnilayachereha,gnilayachereha,https://t.me/gnilayachereha,100 min
"Доброго вечора, ми з України👋","Останні новини України і світу, новини онлайн.",374824,https://uk.tgstat.com/en/channel/@from_ukraine_we,from_ukraine_we,https://t.me/from_ukraine_we,19 min
Оповіщення ЦЗ,Оперативна інформація з питань Цивільного захисту,371148,https://uk.tgstat.com/en/channel/@dczloda,dczloda,https://t.me/dczloda,5 days
ДТЕК - офіційний канал,Єдиний офіційний канал Групи ДТЕК,360491,https://uk.tgstat.com/en/channel/@dtek_ua,dtek_ua,https://t.me/dtek_ua,2 days
Ху Київ + | Україна,"Найактуальніші та найгарячіші новини Києва те, що не покажуть по ТБ ️",348500,https://uk.tgstat.com/en/channel/@kyiv_xy,kyiv_xy,https://t.me/kyiv_xy,58 min
