name,description,subscribers,url,username,tme_link,last_post
Бердянск Перекличка,"Группа №1 про обстановку в Бердянске и Бердянском районе в реальном времени. А также взаимная помощь, немного рекламы и важные новости.",41064,https://uk.tgstat.com/en/chat/@berdiansk_me,berdiansk_me,https://t.me/berdiansk_me,55 min
🍒Гнила черешня🇺🇦 Chat,,32792,https://uk.tgstat.com/en/chat/@gnilayacherehaa,gnilayacherehaa,https://t.me/gnilayacherehaa,2 hours
Новини Хмельницький 🗞🗞⌚️☕️🌤,адмін @angelina_rek,28363,https://uk.tgstat.com/en/chat/@khmelnitsky_novosti,khmelnitsky_novosti,https://t.me/khmelnitsky_novosti,4 hours
Вінниця Онлайн🗞⌚️🌆🏘☕️🌤,адмін @angelina_rek,28173,https://uk.tgstat.com/en/chat/@vinnytsia_people,vinnytsia_people,https://t.me/vinnytsia_people,4 hours
Кривий Ріг - міський чат🗞⌚️☕️🌤,адмін @angelina_rek,28063,https://uk.tgstat.com/en/chat/@info_kr,info_kr,https://t.me/info_kr,4 hours
Чернівці ❤️🗞⌚️🌆☕️🌤,адмін @angelina_rek,27387,https://uk.tgstat.com/en/chat/@chernivci_chat,chernivci_chat,https://t.me/chernivci_chat,4 hours
ХАРКІВ інфочат,"Обстановка по Харькову и области в реальном времени, а также полезные ссылки и важные новости.",26147,https://uk.tgstat.com/en/chat/@kharkiv_infochat,kharkiv_infochat,https://t.me/kharkiv_infochat,58 min
Черкаси Сьогоднi🗞⌚️🌆☕️🌤,адмін @angelina_rek,25800,https://uk.tgstat.com/en/chat/@cherkassy_today,cherkassy_today,https://t.me/cherkassy_today,4 hours
Івано-Франківськ Новини🗞⌚️🏔☕️🌤,адмін @angelina_rek,25413,https://uk.tgstat.com/en/chat/@ivanofrankovsk_news,ivanofrankovsk_news,https://t.me/ivanofrankovsk_news,4 hours
Мiй Житомир ❤️🗞⌚️🌆🏘🏫🏔☕️🌤,адмін @angelina_rek,25312,https://uk.tgstat.com/en/chat/@typical_zhytomyr,typical_zhytomyr,https://t.me/typical_zhytomyr,4 hours
Полтава Інфо🗞⌚️☕️,адмін @angelina_rek,25266,https://uk.tgstat.com/en/chat/@poltava_misto,poltava_misto,https://t.me/poltava_misto,4 hours
Мiй Кропивницький 🗞🗞⌚️☕️🌤,адмін @angelina_rek,25068,https://uk.tgstat.com/en/chat/@my_kropivnitsky,my_kropivnitsky,https://t.me/my_kropivnitsky,4 hours
Суми – чат міста🗞⌚️🌆☕️🌤,адмін @angelina_rek,24662,https://uk.tgstat.com/en/chat/@sumichat,sumichat,https://t.me/sumichat,2 hours
Чернігів Сьогодні🗞⌚️☕️🌤,адмін @angelina_rek,24594,https://uk.tgstat.com/en/chat/@chernigov_news,chernigov_news,https://t.me/chernigov_news,4 hours
